Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 08:07:19:0468;1366006039468;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:19:0642;1366006039642;247.3;;;;;;;;;;
2013-04-15 08:07:19:0717;1366006039717;247.0;;;;;;;;;;
2013-04-15 08:07:19:0954;1366006039954;247.0;;;;;;;;;;
2013-04-15 08:07:20:0295;1366006040295;247.05;;;;;;;;;;
2013-04-15 08:07:20:0417;1366006040417;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:20:0614;1366006040614;247.3;;;;;;;;;;
2013-04-15 08:07:20:0887;1366006040887;247.6;;;;;;;;;;
2013-04-15 08:07:21:0133;1366006041133;247.5;;;;;;;;;;
2013-04-15 08:07:21:0404;1366006041404;247.4;;;;;;;;;;
2013-04-15 08:07:21:0456;1366006041456;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:21:0656;1366006041656;247.6;;;;;;;;;;
2013-04-15 08:07:21:0944;1366006041944;247.7;;;;;;;;;;
2013-04-15 08:07:22:0120;1366006042120;247.5;;;;;;;;;;
2013-04-15 08:07:22:0365;1366006042365;247.3;;;;;;;;;;
2013-04-15 08:07:22:0420;1366006042420;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:22:0607;1366006042607;247.2;;;;;;;;;;
2013-04-15 08:07:22:0838;1366006042838;247.6;;;;;;;;;;
2013-04-15 08:07:23:0090;1366006043090;247.5;;;;;;;;;;
2013-04-15 08:07:23:0315;1366006043315;247.5;;;;;;;;;;
2013-04-15 08:07:23:0556;1366006043556;247.4;;;;;;;;;;
2013-04-15 08:07:23:0577;1366006043577;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:23:0792;1366006043792;247.3;;;;;;;;;;
2013-04-15 08:07:24:0029;1366006044029;246.8;;;;;;;;;;
2013-04-15 08:07:24:0267;1366006044267;247.0;;;;;;;;;;
2013-04-15 08:07:24:0417;1366006044417;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:24:0506;1366006044506;247.3;;;;;;;;;;
2013-04-15 08:07:24:0743;1366006044743;247.4;;;;;;;;;;
2013-04-15 08:07:24:0981;1366006044981;247.5;;;;;;;;;;
2013-04-15 08:07:25:0219;1366006045219;247.5;;;;;;;;;;
2013-04-15 08:07:25:0418;1366006045418;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:25:0462;1366006045462;247.4;;;;;;;;;;
2013-04-15 08:07:25:0701;1366006045701;247.5;;;;;;;;;;
2013-04-15 08:07:25:0938;1366006045938;247.4;;;;;;;;;;
2013-04-15 08:07:26:0175;1366006046175;247.4;;;;;;;;;;
2013-04-15 08:07:26:0413;1366006046413;247.3;;;;;;;;;;
2013-04-15 08:07:26:0417;1366006046417;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:26:0652;1366006046652;247.5;;;;;;;;;;
2013-04-15 08:07:26:0889;1366006046889;247.6;;;;;;;;;;
2013-04-15 08:07:27:0127;1366006047127;247.4;;;;;;;;;;
2013-04-15 08:07:27:0368;1366006047368;247.1;;;;;;;;;;
